instruction,input,output
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@politico I’ve been wondering why almost every photo taken around the world shows everyday people wearing masks... Not in the United States. #trump #coronavirus` on topic of `face masks`,Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `@GovernorTomWolf All you snowflake republicans, wear a fucking mask. #WearAMask #wearafuckingmask #WearADamnMask` on topic of `face masks`",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@tahntahn76 @llojak How do these evil bastards get away with this ???` on topic of `stay at home orders`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@DdnetFx @AmelieLens Spot on #Scamdemic #Plandemic` on topic of `face masks`,Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `A question to the people wearing their masks on their chins...do you think it’s doing anything :thinking_face:` on topic of `face masks`,Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `What's pissing me off today whilst out and about for work, is seeing people carrying on like nothing's happening, whilst Covid is very much still circulating plus the fact, people just don't/won't wear face masks whilst in shops` on topic of `face masks`",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `There is soooo much I just pray everyone will pray and help each other as much as possible, we don't know what's next forreal!!!!` on topic of `stay at home orders`",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@Kek_Klothing @aussie_smitty Not hard to understand if you just follow the money! #SilentMajorityRising #UnmaskAmerica #ReOpenOurSchools` on topic of `stay at home orders`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `I hate the fact I can’t take my daughter out and live a normal childhood :broken_heart: Hopefully COVID goes away!` on topic of `stay at home orders`,Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `If every person in the UK used one single-use mask each day for a year, an extra 66,000 tonnes of contaminated plastic waste would be created.@GretaThunberg` on topic of `face masks`",Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Remember to wash your hands, wear a face mask and keep social distance. COVID19 is real.` on topic of `stay at home orders`",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@IngrahamAngle No more stimulus bills reopen America let people go back to work.` on topic of `stay at home orders`,Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@RoseDC11 @meldu5 Trump needs to get rid of Fauci` on topic of `stay at home orders`,Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `My nephew came back from school with news of an alleged positive case of his physical sciences teacher, who also lost his wife to covid.  The school is continuing as usual, keeping things :zipper__mouth_face:  Why weren't teachers &amp; students tested upon returning to schools?` on topic of `school closures`",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Covid-19 cases rise so highly meanwhile the people awareness of Covid-19 has been rapidly going down at the low level. Whenever I went outside, I saw most people didn't wear mask. That also indicate how people stupidity is rapidly going up at the high level` on topic of `face masks`",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@RichardGrenell @FoxNewsSunday @realDonaldTrump needs to have a conversation with this guy. You can't open schools until you open the country back up as well. Govenors like @GavinNewsom are ruining lives.` on topic of `stay at home orders`,Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Schools have to open back up. I understand parents who are concerned, but please, understand the children for whom it’s the only place where they can get a warm meal, for whom it’s a place that keeps them off the streets. Schools offer more than books and tests.` on topic of `school closures`",Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `If you don’t care on wearing a mask, get the fuck out of streets. I’m so done being polite about this` on topic of `face masks`",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `:play_button_selector::radio: unhappy  @lewis24779103 @uzoma_a2ma  @deejayfoxyone    #RaypowerNigeria` on topic of `stay at home orders`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Teachers put in a lot of effort; during classes, students listen to the teacher and it's a good mode of education in the current scenario. How do we expect schools to pay them without any fees.` on topic of `school closures`",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@realDonaldTrump It would be exciting if you did your job. #coronavirus` on topic of `face masks`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Almost 15 Lakh teachers are unemployed due to closure of schools.` on topic of `school closures`,Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@whiskyfoxtrotta @ChrisWickNews Face diapers for babies. Probably the best analogy for wearing the muzzle yet. Congratulations on inventing it. #CovidClown  #SnowFlakeFlu  #WokePlague` on topic of `stay at home orders`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `@TheChainsmokers I don’t what’s worse, you having that concert in Southampton during the Covid pandemic or your music. JK, it’s your music. But both are awful. #chainsmokers #COVID19 #Quarantine` on topic of `face masks`",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@SteveDeaceShow Pence is more worried about Space Force than #COVID19 and they horrors being forced on the country.   Civil action will be our own relief.` on topic of `face masks`,Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `@NYGovCuomo They’re your favorite, peaceful protesters :heart_eyes::sunglasses: :tropical_drink: :flag_for_United_States::flag_for_United_States::smiling_face_with_3_hearts::smiling_face_with_3_hearts:` on topic of `stay at home orders`",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `@SecretaryCarson @HighlandsAL Because that's what churches do! :latin_cross::thumbs_up_medium-dark_skin_tone::thumbsup::thumbs_up_light_skin_tone:  Thank you, Dr. Carson. This is inspiring in a time when so many are paralyzed by fear. The more coronavirus tests, the better. It gets us that much closer to rebuilding even stronger!  #AmericaWorksTogether #KAG` on topic of `stay at home orders`",Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@SolanoRuizTV @DrTedros Well said! Thank you!  #Plandemic2020` on topic of `face masks`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `The politicians and the psychologists are running what they think is a clever game, they're trying to confuse us by changing the laws and giving very little warning - Dr. Vernon Coleman  #Plandemic2020 #masks #nomask #Resist #vernoncoleman #Covid_19 #COVID19` on topic of `face masks`",Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@sumalathaA Get well soon amma becouse your health is our wealth.` on topic of `stay at home orders`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Not putting my kids in school in August will be tough, time-consuming, and make getting to work difficult. But #TeachersLivesMatter so we will figure it out. Teachers are not front line workers. Teachers are not babysitters. #COVID19` on topic of `school closures`",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@CSTribune Was she wearing a mask?` on topic of `stay at home orders`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I just heard on the radio, that SA will close a school IF a case of Covid-19 is confirmed. Isn’t that a bit like closing the gate once the the horse has bolted???` on topic of `school closures`",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `:play_button_selector::radio: risk it all  @uptawn_   @deejayfoxyone    #RaypowerNigeria` on topic of `stay at home orders`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `@Astronomicly_ @OremUte @Breaking911 Not when EVERY SINGLE death is attributed to the #CovidHoax.  Funny how NOBODY dies from the flu, heart attacks, diabetes, or ANYTHING ELSE anymore.  Except for the deaths that BLM can exploit, that is!  #Plandemic` on topic of `stay at home orders`",Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `No shadow to depress you, Only joys to surrounded you, God himself to bless you, These are my wishes for you,, Today, Tomorrow and Everyday..!! #eidmubarak2020  #Eid_Ul_Adha_Mubarak  #StayAtHome` on topic of `stay at home orders`",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@GavinNewsom You really Really Really Really Really Really Really Really DON'T need to wear a mask  #MaskOff` on topic of `face masks`,Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Before asking schools to not charge fee for providing service of online education, gujrat government should have arranged free online education to all students of gujrat. Very bad and sad sermon` on topic of `school closures`",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `HEY ALL! post your fatality rate of your State! Oregon- Population- 4.3M #COVID__19 Deaths -240 Fatality Rate -056%  Divide Death # by the population # and then multiply by 100 to give you the %.  #CDCcovidFakeNumbers #plannedemic NOT A #epidemic NO #facemasks` on topic of `stay at home orders`,Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Our Friday night consists of a Las Vegas themed puzzle and forensic files :smiling_face_with_3_hearts:` on topic of `stay at home orders`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Parents are actually going to have to parent their own children with schools closed...yet we have a generation with limited parenting skills, where others have raised their children from nursery and they’ve not had health - 1 #StaySafeStayHome #coronavirus` on topic of `school closures`",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Unless the so called madam minister Angie gets infected by the virus that the only way she'll finally gain her conscious and decides to close schools if not then she'll want to sacrifice our children for their own amusement we should protest if we have too!!!` on topic of `school closures`,Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@Ro_Smith @newscomauHQ Fascist police state of Victoria is a travesty of justice.` on topic of `stay at home orders`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `@donwinslow I’m a special education teacher and I will probably have to go into school each day, but I will not send in my twin 15 year old daughters. My 78 year old mother lives with us so I will quarantine myself in my room when I get home each day.` on topic of `school closures`",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@pulte It’d help with the fines for not wearing a mask in Michigan @GovWhitmer` on topic of `face masks`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `@BetsyDeVosED  @realDonaldTrump I am saying this for most parents and children. We do not want to go back to school due to the risk of getting the virus, but as you and you're good friend Trump will said  you guys will defund schools.` on topic of `school closures`",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@GregAbbott_TX @realDonaldTrump @GovAbbott Makes NO SENSE! Mitigation orders (social distance/mass closings) set forth COVID-19 was based on Worse Case scenarios - models were Grossly inaccurate! Yet in the face of reality (no deadlier than flu) NOTHING's changed in mitigation orders. Update that shit!!!` on topic of `stay at home orders`,Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Watching the #whtaskforcebriefing and the claim was made that students aren’t a significant source of spread.  Do you think maybe that is because we closed the schools to prevent it?? #COVID19 #TaskForce #cdc` on topic of `school closures`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `BREAKING House passes bill to fund giant plastic bubbles for every single K-2nd grader since it's the only way to make sure they're 6 feet apart in class. #COVIDIOTS #cdc` on topic of `school closures`,Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `:notes::arrow_forward:Financial woman @phynofino @PeterPsquare  On #Totorimuzik @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO` on topic of `stay at home orders`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `@bonglez We cannot go back to hardlockdown, more businesses will close forever` on topic of `stay at home orders`",Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@charliekirk11 We are not falling for that twice! :no_entry_sign: #stayopen` on topic of `stay at home orders`,Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@GOP @realDonaldTrump Opening schools in hotspots will force these children to kill their parents and grandparents. #Trump and the #GOP will have blood on their hands.` on topic of `school closures`,Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `@GaydosKTAR Trump has cancelled the RNC Convention in Jacksonville, FL due to concerns about #covid19.   Gov. Doucey extended the closure of Bars, Theaters, Gyms n Pools  But they wants us to send our children to school. That makes alot of sense :man_facepalming::man_facepalming::man_facepalming:` on topic of `school closures`",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@DJJudd @byrdinator The data shows for healthy people masks can present greater danger because of contamination.` on topic of `face masks`,Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `@hoaghealth Your own doctor, Dr. Jeff Barke, is now infamous for not wearing a mask and telling anyone who will listen to his numerous media statements to also not wear a mask. Why does he still have privileges at Hoag? #NewportBeach #HuntingtonBeach #Coronavirus` on topic of `face masks`",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Talking to a Chinese friend who never panics about anything but told me the #coronavirus #coronavirusuk isn't being taken seriously. ""for a developed country WTF are they doing"" no screening at airports, public events continue WTF WTF WTF""` on topic of `school closures`",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@csheets44 @GovMikeDeWine My daughter goes to Dayton public schools and last year she had to sit in science class with no teacher the entire year. They gave them a packet and left them alone for the day. How will this year look??? This is going to be a disaster. SMH` on topic of `school closures`,Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `I’m homeschooling this year. Not risking my daughter over someone who doesn’t understand wind and thinks the enemy is a friend.` on topic of `school closures`,Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@DoroLef @sl2016_sl @ThoughtOfTrying @ARealGirlReview @Nicolette_O @Shannon_Skinner @HHLifestyleTrav @TumiWith Awesome @DoroLef ! Great to see so many caring people around the world ! #MaskWearersAroundtheworld #WearAMask` on topic of `face masks`,Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `so british schools will shut down after 2cm of snow but not for the coronavirus which is otherwise going to affect 70% of our population at least? makes sense` on topic of `school closures`,Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@SMC_edu  still has classes while WHO declared Coronavirus a pandemic. What will it take to move classes off campus? The entire school has to be infected?` on topic of `school closures`,Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@JoeNBC Yet 24/7 we can count on @JoeNBC to deliver #DoomAndGloom from a Democrat Activist view. There are more deaths WW from flu than Covid. #OpenAmerica and` on topic of `school closures`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `I am sick to my stomach over the thought that there are districts informing #teachers to update their wills and having both children and teachers sign waivers over dying. We are not at a point of safety to open schools properly.` on topic of `school closures`,Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@Pismo_B @becky_rln Poor baby` on topic of `stay at home orders`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Death rate now so low in Britain that the #BBC has to talk about mortality in foreign countries to keep the Great Panic going.  #COVID__19 #COVID19 #COVID #Covid19UK #COVIDIOTS` on topic of `stay at home orders`,Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `@RBReich New York did it, so the rest of the country can do it. #lockdown` on topic of `face masks`",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@ShawnShafai @nsarwark @chrismartenson So Closing schools Social distancing Masks Plexiglass at the Grover Locking down business Stay home stay safe  Didn't work` on topic of `stay at home orders`,Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@GOPLeader You can have testing when all of the American people have testing. Until then` on topic of `face masks`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `@LeChatNoire4 My friend, who is immune compromised, went into a Publix today. Publix stores in FL have a mask mandate. Shoppers wear a mask to get in &amp; then many remove them. She was accosted today by an anti-mask person. I don't know what the answer is but this has to stop.` on topic of `face masks`",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@mitchellvii Let’s get #filmyourhospitals trending and even the sheeple    may understand the TRUTH! #hoax #Covid_19` on topic of `face masks`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@AshaRangappa_ I wonder if he typed that from the safety of his kitchen or living room? #COVID19` on topic of `face masks`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `@Kingdom49867884 @scratchhere Same! I have gone to my local Walmart, Grocery. CVS and Walgreens this whole time without one! I am definitely the only one most days! One time was told I need a mask but just walked past them... more ppl need to just say` on topic of `face masks`",Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `2. The leadership from gov on this has been appalling on this. We need a CLEAR info vid put out on SAFE mask wearing &amp; storing as I've seen some ridiculous examples of misuse which is probably worse than not wearing one!` on topic of `face masks`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `@ahmhaitham @kudanai @AdleeDeadly In Kerala State , of you dont wear the mask &amp; roam around then you'll be fined on the spot or have to go to jail for 2 years. You cannot put others life in danger ! #Covid_19` on topic of `stay at home orders`",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `The lockdown is even killin more people than the virus` on topic of `stay at home orders`,Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `:notes::arrow_forward:Make am @patorankingfire   On #Totorimuzik @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO` on topic of `stay at home orders`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `@ClarkeMicah   Great article in the DM this morning. The most realistic and truthful assessment of this ‘mess’ so far. Good job! Masks are unhealthy, unproven &amp; unnecessary. The only reason for masks is to differentiate who is scared witless and who is not.` on topic of `face masks`",Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `HAPPY EID MUBARAK!!! To all the Muslims around the globe. Have a safe Eid` on topic of `stay at home orders`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `@KHerriage @UrUnpaidPundit @charliebilello Yep. But we are still barring children from playgrounds - welding gates, filling skateparks with sand. Insane. Almost zero risk to them #LetTheChildrenPlay Love the children- let them go #BacktoSchool  #MAGA` on topic of `stay at home orders`",Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `@_Republic17 Let's stop this travesty! #covidlies #CaronaHoax #DemocratsaretheVirus` on topic of `stay at home orders`,Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `:notes::arrow_forward:Fact @victor_adere  On #TRENDVILLA @fomaliciousbabe @Akpos_carrytalk @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO` on topic of `stay at home orders`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `@Ian56789 @NIsakoff Total scum, bought and paid for shill.` on topic of `stay at home orders`",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `:notes::arrow_forward:God can bless anybody @Mr2kayy  On #trendmuzikblast @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO` on topic of `stay at home orders`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `If teacher hardwork will not be evaluated than it is not fair ..The schools those you are doing hardwork at this pendemic situation must be supported by the parents and all the govt decision` on topic of `school closures`,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to a specific topic. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `@CharlieMont13 @Nigel_Farage Haha no bother deflect :joy::clap: people/person, the point is someone has lost their life. Shame on you, the mudslinging trouble maker that you are. I will however forgive you.` on topic of `stay at home orders`",Neutral
